season,year,month,hour,holiday,weekday,workingday,weather,temp,feel_temp,humidity,windspeed,casual,registered,count
spring,0.0,1.0,0.0,False,6.0,False,clear,9.84,14.395,0.81,0.0,3.0,13.0,16.0
spring,0.0,1.0,1.0,False,6.0,False,clear,9.02,13.635,0.8,0.0,8.0,32.0,40.0
spring,0.0,1.0,2.0,False,6.0,False,clear,9.02,13.635,0.8,0.0,5.0,27.0,32.0
spring,0.0,1.0,3.0,False,6.0,False,clear,9.84,14.395,0.75,0.0,3.0,10.0,13.0
spring,0.0,1.0,4.0,False,6.0,False,clear,9.84,14.395,0.75,0.0,0.0,1.0,1.0
spring,0.0,1.0,5.0,False,6.0,False,misty,9.84,12.879999999999999,0.75,6.0032,0.0,1.0,1.0
spring,0.0,1.0,6.0,False,6.0,False,clear,9.02,13.635,0.8,0.0,2.0,0.0,2.0
spring,0.0,1.0,7.0,False,6.0,False,clear,8.200000000000001,12.879999999999999,0.86,0.0,1.0,2.0,3.0
spring,0.0,1.0,8.0,False,6.0,False,clear,9.84,14.395,0.75,0.0,1.0,7.0,8.0
spring,0.0,1.0,9.0,False,6.0,False,clear,13.120000000000001,17.424999999999997,0.76,0.0,8.0,6.0,14.0
spring,0.0,1.0,10.0,False,6.0,False,clear,15.58,19.695,0.76,16.997899999999998,12.0,24.0,36.0
spring,0.0,1.0,11.0,False,6.0,False,clear,14.76,16.665,0.81,19.0012,26.0,30.0,56.0
spring,0.0,1.0,12.0,False,6.0,False,clear,17.22,21.21,0.77,19.0012,29.0,55.0,84.0
spring,0.0,1.0,13.0,False,6.0,False,misty,18.86,22.725,0.72,19.999499999999998,47.0,47.0,94.0
spring,0.0,1.0,14.0,False,6.0,False,misty,18.86,22.725,0.72,19.0012,35.0,71.0,106.0
spring,0.0,1.0,15.0,False,6.0,False,misty,18.04,21.97,0.77,19.999499999999998,40.0,70.0,110.0
spring,0.0,1.0,16.0,False,6.0,False,misty,17.22,21.21,0.82,19.999499999999998,41.0,52.0,93.0
spring,0.0,1.0,17.0,False,6.0,False,misty,18.04,21.97,0.82,19.0012,15.0,52.0,67.0
spring,0.0,1.0,18.0,False,6.0,False,rain,17.22,21.21,0.88,16.997899999999998,9.0,26.0,35.0
spring,0.0,1.0,19.0,False,6.0,False,rain,17.22,21.21,0.88,16.997899999999998,6.0,31.0,37.0
spring,0.0,1.0,20.0,False,6.0,False,misty,16.400000000000002,20.455000000000002,0.87,16.997899999999998,11.0,25.0,36.0
spring,0.0,1.0,21.0,False,6.0,False,misty,16.400000000000002,20.455000000000002,0.87,12.998,3.0,31.0,34.0
spring,0.0,1.0,22.0,False,6.0,False,misty,16.400000000000002,20.455000000000002,0.94,15.001299999999999,11.0,17.0,28.0
spring,0.0,1.0,23.0,False,6.0,False,misty,18.86,22.725,0.88,19.999499999999998,15.0,24.0,39.0
spring,0.0,1.0,0.0,False,0.0,False,misty,18.86,22.725,0.88,19.999499999999998,4.0,13.0,17.0
spring,0.0,1.0,1.0,False,0.0,False,misty,18.04,21.97,0.94,16.997899999999998,1.0,16.0,17.0
spring,0.0,1.0,2.0,False,0.0,False,misty,17.22,21.21,1.0,19.0012,1.0,8.0,9.0
spring,0.0,1.0,3.0,False,0.0,False,misty,18.86,22.725,0.94,12.998,2.0,4.0,6.0
spring,0.0,1.0,4.0,False,0.0,False,misty,18.86,22.725,0.94,12.998,2.0,1.0,3.0
spring,0.0,1.0,6.0,False,0.0,False,rain,17.22,21.21,0.77,19.999499999999998,0.0,2.0,2.0
spring,0.0,1.0,7.0,False,0.0,False,misty,16.400000000000002,20.455000000000002,0.76,12.998,0.0,1.0,1.0
spring,0.0,1.0,8.0,False,0.0,False,rain,16.400000000000002,20.455000000000002,0.71,15.001299999999999,0.0,8.0,8.0
spring,0.0,1.0,9.0,False,0.0,False,misty,15.58,19.695,0.76,15.001299999999999,1.0,19.0,20.0
spring,0.0,1.0,10.0,False,0.0,False,misty,14.76,17.424999999999997,0.81,15.001299999999999,7.0,46.0,53.0
spring,0.0,1.0,11.0,False,0.0,False,misty,14.76,16.665,0.71,16.997899999999998,16.0,54.0,70.0
spring,0.0,1.0,12.0,False,0.0,False,misty,14.76,16.665,0.66,19.999499999999998,20.0,73.0,93.0
